Date,Open,High,Low,Close,Adj Close,Volume
2015-02-23,29.655001,31.084999,29.545000,31.004999,30.060404,13185600
2015-03-02,31.030001,31.985001,30.395000,30.930000,29.987694,11885200
2015-03-09,30.750000,30.840000,29.834999,30.520000,29.590181,10539600
2015-03-16,30.870001,31.285000,30.010000,30.200001,29.279930,9398200
2015-03-23,30.200001,30.495001,28.465000,28.820000,27.941973,10044200
2015-03-30,29.320000,30.400000,28.635000,30.305000,29.381731,6990600
2015-04-06,30.080000,30.459999,29.014999,29.365000,28.470369,10272200
2015-04-13,29.165001,29.785000,28.565001,28.785000,27.908039,7578400
2015-04-20,28.705000,28.780001,28.045000,28.415001,27.549313,10078600
2015-04-27,28.385000,28.660000,28.155001,28.330000,27.466902,7083200
2015-05-04,28.725000,28.780001,27.100000,28.520000,27.651114,7300000
2015-05-11,28.674999,29.084999,27.860001,29.025000,28.140728,7803600
2015-05-18,28.924999,29.889999,28.780001,29.785000,28.877575,7485200
2015-05-25,29.565001,29.955000,29.195000,29.809999,28.901812,5286400
2015-06-01,29.799999,29.955000,28.080000,28.645000,27.772306,7801400
2015-06-08,28.530001,28.815001,28.014999,28.325001,27.462055,5524400
2015-06-15,28.090000,29.070000,28.014999,28.975000,28.092249,8255400
2015-06-22,29.350000,30.895000,29.309999,30.625000,29.691982,11614000
2015-06-29,30.059999,31.020000,29.985001,30.825001,29.885891,5377800
2015-07-06,30.889999,31.250000,29.790001,30.910000,30.155239,8603200
2015-07-13,31.014999,31.965000,30.785000,31.934999,31.155210,6497600
2015-07-20,31.889999,32.060001,30.629999,30.754999,30.004023,8758400
2015-07-27,30.240000,31.490000,30.014999,31.235001,30.472303,7504000
2015-08-03,30.885000,31.905001,30.799999,31.495001,30.725956,5322200
2015-08-10,31.590000,32.064999,30.504999,31.475000,30.706444,6505200
2015-08-17,31.389999,31.525000,29.660000,29.969999,29.238192,6862600
2015-08-24,28.219999,29.719999,25.820000,29.195000,28.482115,12868000
2015-08-31,28.975000,29.434999,27.754999,28.139999,27.452877,8523600
2015-09-07,28.575001,28.930000,28.160000,28.299999,27.608971,6271400
2015-09-14,28.575001,30.010000,28.475000,29.305000,28.589430,8771600
2015-09-21,29.495001,30.415001,28.885000,30.280001,29.540621,7753200
2015-09-28,30.150000,31.344999,29.010000,31.299999,30.535717,10187400
2015-10-05,31.740000,32.720001,31.500000,31.945000,31.164965,8940800
2015-10-12,31.895000,32.320000,30.700001,31.760000,30.984486,9785600
2015-10-19,31.684999,32.044998,30.895000,31.389999,30.623518,7757000
2015-10-26,31.145000,32.189999,30.465000,30.570000,29.823542,6686000
2015-11-02,30.555000,31.120001,29.530001,29.615000,28.891859,7424400
2015-11-09,29.570000,29.895000,28.285000,28.520000,27.823599,5507400
2015-11-16,28.850000,29.430000,28.375000,29.410000,28.691862,6862200
2015-11-23,29.264999,29.709999,28.530001,29.139999,28.428459,5141800
2015-11-30,29.139999,30.115000,28.950001,29.825001,29.096733,8189800
2015-12-07,29.584999,29.875000,28.059999,28.110001,27.423609,5125000
2015-12-14,28.405001,30.094999,28.405001,29.299999,28.584551,9354000
2015-12-21,29.620001,30.495001,29.620001,30.245001,29.506477,3561200
